,Date,Open,High,Low,Close
0,20230626,71700.0,72500.0,71500.0,72400.0
1,20230623,72000.0,72200.0,71600.0,71600.0
2,20230622,70200.0,71500.0,70100.0,71300.0
3,20230621,70700.0,71200.0,70400.0,70500.0
4,20230620,70700.0,71400.0,70400.0,71400.0
5,20230619,71300.0,71700.0,70900.0,71200.0
6,20230616,71800.0,71900.0,70900.0,71800.0
7,20230615,72100.0,72300.0,71300.0,71500.0
8,20230614,72100.0,72200.0,71100.0,71900.0
9,20230613,71700.0,72200.0,71600.0,72000.0
10,20230612,72100.0,72400.0,70800.0,71000.0
11,20230609,71100.0,72300.0,70800.0,72000.0
12,20230608,70400.0,70900.0,70000.0,70900.0
13,20230607,71300.0,71600.0,70800.0,71000.0
14,20230605,72700.0,72700.0,71400.0,71700.0
15,20230602,71700.0,72200.0,71600.0,72200.0
16,20230601,70900.0,71600.0,70600.0,70900.0
17,20230531,72400.0,72500.0,71000.0,71400.0
18,20230530,71300.0,72300.0,71200.0,72300.0
19,20230526,69800.0,70400.0,69500.0,70300.0
20,20230525,69900.0,70000.0,68700.0,68800.0
21,20230524,68100.0,68700.0,68000.0,68500.0
22,20230523,68500.0,68700.0,68100.0,68400.0
23,20230522,68400.0,69000.0,68000.0,68500.0
24,20230519,67800.0,68400.0,67500.0,68400.0
25,20230518,66000.0,66200.0,65700.0,66200.0
26,20230517,65900.0,65900.0,64800.0,65000.0
27,20230516,65800.0,65900.0,65300.0,65400.0
28,20230515,64100.0,64600.0,63900.0,64500.0
29,20230512,63700.0,64600.0,63600.0,64100.0
30,20230511,64700.0,65100.0,64200.0,64200.0
31,20230510,65500.0,65500.0,64300.0,64600.0
32,20230509,65800.0,65800.0,65100.0,65300.0
33,20230508,66300.0,66300.0,65400.0,65900.0
34,20230504,65600.0,65700.0,64700.0,65100.0
35,20230503,65100.0,65600.0,64900.0,65400.0
36,20230502,66000.0,66300.0,65100.0,65700.0
37,20230428,65200.0,65900.0,65000.0,65500.0
38,20230427,64100.0,65000.0,63300.0,64600.0
39,20230426,63600.0,64300.0,63300.0,64100.0
40,20230425,65300.0,65400.0,63400.0,63600.0
41,20230424,65300.0,65700.0,64800.0,65200.0
42,20230421,65800.0,65900.0,65400.0,65700.0
43,20230420,65100.0,65300.0,64600.0,65300.0
44,20230419,65500.0,65800.0,65300.0,65500.0
45,20230418,65900.0,66000.0,64800.0,65600.0
46,20230417,65000.0,65600.0,64700.0,65300.0
47,20230414,66600.0,66600.0,65000.0,65100.0
48,20230413,65600.0,66100.0,65400.0,66100.0
49,20230412,65800.0,66200.0,65300.0,66000.0
50,20230411,66200.0,66200.0,65400.0,65900.0
51,20230410,64800.0,66300.0,64700.0,65700.0
52,20230407,63800.0,65200.0,63800.0,65000.0
53,20230406,63500.0,63600.0,62300.0,62300.0
54,20230405,63700.0,64000.0,63400.0,63900.0
55,20230404,63400.0,63800.0,62800.0,63600.0
56,20230403,64000.0,64000.0,63000.0,63100.0
57,20230331,64000.0,64000.0,63700.0,64000.0
58,20230330,63700.0,63700.0,63100.0,63200.0
59,20230329,62500.0,62700.0,62200.0,62700.0
60,20230328,62400.0,62900.0,62100.0,62900.0
61,20230327,62600.0,62800.0,62000.0,62100.0
62,20230324,62700.0,63300.0,62300.0,63000.0
63,20230323,60600.0,62300.0,60600.0,62300.0
64,20230322,61000.0,61200.0,60500.0,61100.0
65,20230321,60500.0,60700.0,60100.0,60300.0
66,20230320,61100.0,61200.0,60200.0,60200.0
67,20230317,60800.0,61300.0,60600.0,61300.0
68,20230316,59200.0,60200.0,59100.0,59900.0
69,20230315,60000.0,60300.0,59600.0,59800.0
70,20230314,59400.0,59500.0,59000.0,59000.0
71,20230313,59900.0,60200.0,59300.0,60000.0
72,20230310,59500.0,59700.0,59100.0,59500.0
73,20230309,60500.0,60800.0,59900.0,60100.0
74,20230308,60100.0,60500.0,59900.0,60300.0
75,20230307,61400.0,61400.0,60700.0,60700.0
76,20230306,61100.0,61600.0,60800.0,61500.0
77,20230303,61000.0,61200.0,60500.0,60500.0
78,20230302,60900.0,61800.0,60500.0,60800.0
79,20230228,60800.0,61400.0,60500.0,60600.0
80,20230227,60800.0,60800.0,60200.0,60500.0
81,20230224,62300.0,62600.0,61300.0,61300.0
82,20230223,61700.0,62500.0,61500.0,62000.0
83,20230222,61500.0,61800.0,61000.0,61100.0
84,20230221,62700.0,62800.0,62000.0,62100.0
85,20230220,62900.0,63000.0,61800.0,62700.0
86,20230217,62900.0,63300.0,62400.0,62600.0
87,20230216,62500.0,63700.0,62400.0,63700.0
88,20230215,63900.0,63900.0,62000.0,62200.0
89,20230214,63600.0,63900.0,63200.0,63200.0
90,20230213,62900.0,63000.0,62300.0,62900.0
91,20230210,62600.0,63000.0,62400.0,62800.0
92,20230209,63000.0,63300.0,62300.0,63000.0
93,20230208,62800.0,63300.0,62400.0,63100.0
94,20230207,61900.0,62500.0,61600.0,61900.0
95,20230206,62800.0,63000.0,61600.0,61600.0
96,20230203,63900.0,64000.0,63000.0,63800.0
97,20230202,63200.0,63900.0,62600.0,63500.0
98,20230201,62600.0,62700.0,61000.0,61800.0
99,20230131,63500.0,63700.0,61000.0,61000.0
